Vehicle,Stolen,Recovered
A3,01/01/2017,03/01/2017
B9,08/11/2016,
D8,12/31/2016,01/01/2017
F1,07/19/2017,
A3,02/02/2017,
Z2,06/30/2017,
A5,07/01/2017,
M7,07/02/2017,
P5,07/17/207,
N6,07/21/2017,07/23/2017
N6,07/26/2017,
A32,01/01/2017,03/01/2017
B99,08/11/2016,
D88,12/31/2016,01/01/2017
F11,07/19/2017,
A33,02/02/2017,
Z22,06/30/2017,
A55,07/01/2017,
M77,07/02/2017,
P55,07/17/207,
N66,07/21/2017,07/23/2017
N66,07/26/2017,
A13,01/01/2017,03/01/2017
B19,08/11/2016,
D18,12/31/2016,01/01/2017
F11,07/19/2017,
A13,02/02/2017,
Z12,06/30/2017,
A15,07/01/2017,
M17,07/02/2017,
P15,07/17/207,
N16,07/21/2017,07/23/2017
N16,07/26/2017,
A32,01/01/2017,03/01/2017
B92,08/11/2016,
D82,12/31/2016,01/01/2017
F12,07/19/2017,
A32,02/02/2017,
Z22,06/30/2017,
A52,07/01/2017,
M27,07/02/2017,
P25,07/17/207,
N26,07/21/2017,07/23/2017
N26,07/26/2017,
A43,01/01/2017,03/01/2017
B49,08/11/2016,
D48,12/31/2016,01/01/2017
F41,07/19/2017,
A43,02/02/2017,
Z42,06/30/2017,
A45,07/01/2017,
M47,07/02/2017,
P45,07/17/207,
N46,07/21/2017,07/23/2017
N46,07/26/2017,
A37,01/01/2017,03/01/2017
B97,08/11/2016,
D87,12/31/2016,01/01/2017
F17,07/19/2017,
A73,02/02/2017,
Z72,06/30/2017,
A75,07/01/2017,
M78,07/02/2017,
P75,07/17/207,
N76,07/21/2017,07/23/2017
N76,07/26/2017,